timestamp,ticker,action,quantity,exchange,price,commission
2012-04-02 00:00:00,IEI,BOT,2000,ARCA,121.12,10.0
2012-04-02 00:00:00,TLT,SLD,2444,ARCA,112.53,12.22
2012-04-03 00:00:00,IEI,SLD,2000,ARCA,120.66,10.0
2012-04-03 00:00:00,TLT,BOT,2467,ARCA,110.58,12.335
2012-04-04 00:00:00,IEI,BOT,2000,ARCA,120.96,10.0
2012-04-04 00:00:00,TLT,SLD,2467,ARCA,112.1,12.335
2012-04-09 00:00:00,IEI,BOT,2000,ARCA,121.8,10.0
2012-04-09 00:00:00,TLT,SLD,2383,ARCA,115.55,11.915
2012-04-11 00:00:00,IEI,SLD,2000,ARCA,121.91,10.0
2012-04-11 00:00:00,TLT,BOT,2383,ARCA,115.46,11.915
2012-04-13 00:00:00,IEI,BOT,2000,ARCA,122.04,10.0
2012-04-13 00:00:00,TLT,SLD,2361,ARCA,116.84,11.805
2012-04-16 00:00:00,IEI,SLD,2000,ARCA,122.12,10.0
2012-04-16 00:00:00,TLT,BOT,2361,ARCA,116.67,11.805
2012-05-14 00:00:00,IEI,BOT,2000,ARCA,122.87,10.0
2012-05-14 00:00:00,TLT,SLD,2289,ARCA,121.17,11.445
2012-05-15 00:00:00,IEI,SLD,2000,ARCA,122.79,10.0
2012-05-15 00:00:00,TLT,BOT,2289,ARCA,121.66,11.445
2012-05-17 00:00:00,IEI,BOT,2000,ARCA,122.83,10.0
2012-05-17 00:00:00,TLT,SLD,2233,ARCA,124.17,11.165
2012-05-18 00:00:00,IEI,SLD,2000,ARCA,122.81,10.0
2012-05-18 00:00:00,TLT,BOT,2233,ARCA,124.2,11.165
2012-05-22 00:00:00,IEI,SLD,2000,ARCA,122.69,10.0
2012-05-22 00:00:00,TLT,BOT,2260,ARCA,122.56,11.3
2012-05-23 00:00:00,IEI,BOT,2000,ARCA,122.8,10.0
2012-05-23 00:00:00,TLT,SLD,2260,ARCA,123.41,11.3
2012-05-30 00:00:00,IEI,BOT,2000,ARCA,123.16,10.0
2012-05-30 00:00:00,TLT,SLD,2204,ARCA,126.14,11.02
2012-06-04 00:00:00,IEI,SLD,2000,ARCA,123.11,10.0
2012-06-04 00:00:00,TLT,BOT,2204,ARCA,129.33,11.02
2012-06-05 00:00:00,IEI,SLD,2000,ARCA,123.08,10.0
2012-06-05 00:00:00,TLT,BOT,2174,ARCA,127.6,10.87
2012-06-07 00:00:00,IEI,BOT,2000,ARCA,122.88,10.0
2012-06-07 00:00:00,TLT,SLD,2174,ARCA,125.24,10.87
2012-06-19 00:00:00,IEI,SLD,2000,ARCA,122.96,10.0
2012-06-19 00:00:00,TLT,BOT,2210,ARCA,125.42,11.05
2012-06-20 00:00:00,IEI,BOT,2000,ARCA,122.75,10.0
2012-06-20 00:00:00,TLT,SLD,2210,ARCA,126.04,11.05
2012-06-22 00:00:00,IEI,SLD,2000,ARCA,122.7,10.0
2012-06-22 00:00:00,TLT,BOT,2212,ARCA,125.02,11.06
2012-06-25 00:00:00,IEI,BOT,2000,ARCA,122.93,10.0
2012-06-25 00:00:00,TLT,SLD,2212,ARCA,126.84,11.06
2012-06-29 00:00:00,IEI,SLD,2000,ARCA,123.0,10.0
2012-06-29 00:00:00,TLT,BOT,2214,ARCA,125.2,11.07
2012-07-02 00:00:00,IEI,BOT,2000,ARCA,123.11,10.0
2012-07-02 00:00:00,TLT,SLD,2214,ARCA,126.22,11.07
2012-07-20 00:00:00,IEI,BOT,2000,ARCA,123.74,10.0
2012-07-20 00:00:00,TLT,SLD,2142,ARCA,130.06,10.71
2012-07-23 00:00:00,IEI,SLD,2000,ARCA,123.82,10.0
2012-07-23 00:00:00,TLT,BOT,2142,ARCA,130.79,10.71
2012-07-27 00:00:00,IEI,SLD,2000,ARCA,123.42,10.0
2012-07-27 00:00:00,TLT,BOT,2162,ARCA,128.48,10.81
2012-07-30 00:00:00,IEI,BOT,2000,ARCA,123.62,10.0
2012-07-30 00:00:00,TLT,SLD,2162,ARCA,129.44,10.81
2012-08-03 00:00:00,IEI,SLD,2000,ARCA,123.3,10.0
2012-08-03 00:00:00,TLT,BOT,2175,ARCA,127.42,10.875
2012-08-06 00:00:00,IEI,BOT,2000,ARCA,123.38,10.0
2012-08-06 00:00:00,TLT,SLD,2175,ARCA,127.47,10.875
2012-08-07 00:00:00,IEI,SLD,2000,ARCA,123.09,10.0
2012-08-07 00:00:00,TLT,BOT,2199,ARCA,125.83,10.995
2012-08-08 00:00:00,IEI,BOT,2000,ARCA,122.95,10.0
2012-08-08 00:00:00,TLT,SLD,2199,ARCA,125.16,10.995
2012-08-14 00:00:00,IEI,SLD,2000,ARCA,122.88,10.0
2012-08-14 00:00:00,TLT,BOT,2231,ARCA,123.79,11.155
2012-08-16 00:00:00,IEI,BOT,2000,ARCA,122.47,10.0
2012-08-16 00:00:00,TLT,SLD,2231,ARCA,121.01,11.155
2012-08-22 00:00:00,IEI,BOT,2000,ARCA,123.11,10.0
2012-08-22 00:00:00,TLT,SLD,2224,ARCA,124.41,11.12
2012-08-23 00:00:00,IEI,SLD,2000,ARCA,123.21,10.0
2012-08-23 00:00:00,TLT,BOT,2224,ARCA,124.93,11.12
2012-08-31 00:00:00,IEI,BOT,2000,ARCA,123.82,10.0
2012-08-31 00:00:00,TLT,SLD,2179,ARCA,127.72,10.895
2012-09-04 00:00:00,IEI,SLD,2000,ARCA,123.57,10.0
2012-09-04 00:00:00,TLT,BOT,2179,ARCA,127.32,10.895
2012-09-06 00:00:00,IEI,SLD,2000,ARCA,123.26,10.0
2012-09-06 00:00:00,TLT,BOT,2219,ARCA,124.61,11.095
2012-09-07 00:00:00,IEI,BOT,2000,ARCA,123.4,10.0
2012-09-07 00:00:00,TLT,SLD,2219,ARCA,124.03,11.095
2012-09-12 00:00:00,IEI,SLD,2000,ARCA,123.17,10.0
2012-09-12 00:00:00,TLT,BOT,2265,ARCA,122.01,11.325
2012-09-13 00:00:00,IEI,BOT,2000,ARCA,123.41,10.0
2012-09-13 00:00:00,TLT,SLD,2265,ARCA,121.53,11.325
2012-09-14 00:00:00,IEI,SLD,2000,ARCA,122.98,10.0
2012-09-14 00:00:00,TLT,BOT,2332,ARCA,118.3,11.66
2012-09-17 00:00:00,IEI,BOT,2000,ARCA,123.0,10.0
2012-09-17 00:00:00,TLT,SLD,2332,ARCA,119.72,11.66
2012-09-25 00:00:00,IEI,BOT,2000,ARCA,123.47,10.0
2012-09-25 00:00:00,TLT,SLD,2239,ARCA,123.71,11.195
2012-09-26 00:00:00,IEI,SLD,2000,ARCA,123.7,10.0
2012-09-26 00:00:00,TLT,BOT,2239,ARCA,125.04,11.195
2012-10-04 00:00:00,IEI,SLD,2000,ARCA,123.59,10.0
2012-10-04 00:00:00,TLT,BOT,2255,ARCA,122.74,11.275
2012-10-08 00:00:00,IEI,BOT,2000,ARCA,123.56,10.0
2012-10-08 00:00:00,TLT,SLD,2255,ARCA,122.17,11.275
2012-10-16 00:00:00,IEI,SLD,2000,ARCA,123.3,10.0
2012-10-16 00:00:00,TLT,BOT,2264,ARCA,121.98,11.32
2012-10-17 00:00:00,IEI,BOT,2000,ARCA,122.92,10.0
2012-10-17 00:00:00,TLT,SLD,2264,ARCA,120.85,11.32
2012-10-19 00:00:00,IEI,BOT,2000,ARCA,123.0,10.0
2012-10-19 00:00:00,TLT,SLD,2263,ARCA,121.74,11.315
2012-10-22 00:00:00,IEI,SLD,2000,ARCA,122.8,10.0
2012-10-22 00:00:00,TLT,BOT,2263,ARCA,120.96,11.315
2012-10-23 00:00:00,IEI,BOT,2000,ARCA,123.01,10.0
2012-10-23 00:00:00,TLT,SLD,2246,ARCA,122.69,11.23
2012-10-24 00:00:00,IEI,SLD,2000,ARCA,122.99,10.0
2012-10-24 00:00:00,TLT,BOT,2246,ARCA,121.48,11.23
2012-10-26 00:00:00,IEI,BOT,2000,ARCA,123.03,10.0
2012-10-26 00:00:00,TLT,SLD,2247,ARCA,122.64,11.235
2012-10-31 00:00:00,IEI,SLD,2000,ARCA,123.25,10.0
2012-10-31 00:00:00,TLT,BOT,2247,ARCA,123.36,11.235
2012-11-07 00:00:00,IEI,BOT,2000,ARCA,123.46,10.0
2012-11-07 00:00:00,TLT,SLD,2230,ARCA,124.0,11.15
2012-11-09 00:00:00,IEI,SLD,2000,ARCA,123.66,10.0
2012-11-09 00:00:00,TLT,BOT,2230,ARCA,125.98,11.15
2012-12-12 00:00:00,IEI,SLD,2000,ARCA,123.6,10.0
2012-12-12 00:00:00,TLT,BOT,2254,ARCA,122.59,11.27
2012-12-13 00:00:00,IEI,BOT,2000,ARCA,123.42,10.0
2012-12-13 00:00:00,TLT,SLD,2254,ARCA,122.68,11.27
2012-12-17 00:00:00,IEI,SLD,2000,ARCA,123.22,10.0
2012-12-17 00:00:00,TLT,BOT,2263,ARCA,121.75,11.315
2012-12-18 00:00:00,IEI,BOT,2000,ARCA,123.0,10.0
2012-12-18 00:00:00,TLT,SLD,2263,ARCA,120.51,11.315
2012-12-21 00:00:00,IEI,BOT,2000,ARCA,123.24,10.0
2012-12-21 00:00:00,TLT,SLD,2254,ARCA,122.25,11.27
2012-12-24 00:00:00,IEI,SLD,2000,ARCA,123.19,10.0
2012-12-24 00:00:00,TLT,BOT,2254,ARCA,122.03,11.27
2012-12-31 00:00:00,IEI,SLD,2000,ARCA,123.22,10.0
2012-12-31 00:00:00,TLT,BOT,2270,ARCA,121.18,11.35
2013-01-04 00:00:00,IEI,BOT,2000,ARCA,122.86,10.0
2013-01-04 00:00:00,TLT,SLD,2270,ARCA,118.4,11.35
2013-01-25 00:00:00,IEI,SLD,2000,ARCA,122.79,10.0
2013-01-25 00:00:00,TLT,BOT,2322,ARCA,118.03,11.61
2013-01-28 00:00:00,IEI,BOT,2000,ARCA,122.69,10.0
2013-01-28 00:00:00,TLT,SLD,2322,ARCA,117.6,11.61
2013-02-01 00:00:00,IEI,SLD,2000,ARCA,122.56,10.0
2013-02-01 00:00:00,TLT,BOT,2363,ARCA,115.54,11.815
2013-02-04 00:00:00,IEI,BOT,2000,ARCA,122.89,10.0
2013-02-04 00:00:00,TLT,SLD,2363,ARCA,117.02,11.815
2013-02-25 00:00:00,IEI,BOT,2000,ARCA,123.38,10.0
2013-02-25 00:00:00,TLT,SLD,2304,ARCA,119.33,11.52
2013-02-26 00:00:00,IEI,SLD,2000,ARCA,123.34,10.0
2013-02-26 00:00:00,TLT,BOT,2304,ARCA,118.64,11.52
2013-03-08 00:00:00,IEI,SLD,2000,ARCA,122.67,10.0
2013-03-08 00:00:00,TLT,BOT,2378,ARCA,114.75,11.89
2013-03-11 00:00:00,IEI,BOT,2000,ARCA,122.69,10.0
2013-03-11 00:00:00,TLT,SLD,2378,ARCA,114.86,11.89
2013-03-20 00:00:00,IEI,SLD,2000,ARCA,123.18,10.0
2013-03-20 00:00:00,TLT,BOT,2359,ARCA,116.12,11.795
2013-03-21 00:00:00,IEI,BOT,2000,ARCA,123.26,10.0
2013-03-21 00:00:00,TLT,SLD,2359,ARCA,117.24,11.795
2013-04-04 00:00:00,IEI,BOT,2000,ARCA,123.87,10.0
2013-04-04 00:00:00,TLT,SLD,2285,ARCA,120.39,11.425
2013-04-08 00:00:00,IEI,SLD,2000,ARCA,123.79,10.0
2013-04-08 00:00:00,TLT,BOT,2285,ARCA,121.88,11.425
2013-04-10 00:00:00,IEI,SLD,2000,ARCA,123.63,10.0
2013-04-10 00:00:00,TLT,BOT,2289,ARCA,119.91,11.445
2013-04-11 00:00:00,IEI,BOT,2000,ARCA,123.7,10.0
2013-04-11 00:00:00,TLT,SLD,2289,ARCA,120.14,11.445
2013-04-12 00:00:00,IEI,BOT,2000,ARCA,123.91,10.0
2013-04-12 00:00:00,TLT,SLD,2257,ARCA,121.93,11.285
2013-04-15 00:00:00,IEI,SLD,2000,ARCA,123.99,10.0
2013-04-15 00:00:00,TLT,BOT,2257,ARCA,122.99,11.285
2013-05-01 00:00:00,IEI,BOT,2000,ARCA,124.19,10.0
2013-05-01 00:00:00,TLT,SLD,2220,ARCA,124.01,11.1
2013-05-02 00:00:00,IEI,SLD,2000,ARCA,124.23,10.0
2013-05-02 00:00:00,TLT,BOT,2220,ARCA,123.85,11.1
2013-05-03 00:00:00,IEI,SLD,2000,ARCA,123.78,10.0
2013-05-03 00:00:00,TLT,BOT,2269,ARCA,120.93,11.345
2013-05-06 00:00:00,IEI,BOT,2000,ARCA,123.74,10.0
2013-05-06 00:00:00,TLT,SLD,2269,ARCA,120.63,11.345
2013-05-14 00:00:00,IEI,SLD,2000,ARCA,123.17,10.0
2013-05-14 00:00:00,TLT,BOT,2342,ARCA,116.56,11.71
2013-05-15 00:00:00,IEI,BOT,2000,ARCA,123.28,10.0
2013-05-15 00:00:00,TLT,SLD,2342,ARCA,117.34,11.71
2013-05-17 00:00:00,IEI,SLD,2000,ARCA,123.3,10.0
2013-05-17 00:00:00,TLT,BOT,2334,ARCA,117.06,11.67
2013-05-20 00:00:00,IEI,BOT,2000,ARCA,123.27,10.0
2013-05-20 00:00:00,TLT,SLD,2334,ARCA,116.92,11.67
2013-05-22 00:00:00,IEI,SLD,2000,ARCA,122.97,10.0
2013-05-22 00:00:00,TLT,BOT,2347,ARCA,116.09,11.735
2013-05-23 00:00:00,IEI,BOT,2000,ARCA,123.01,10.0
2013-05-23 00:00:00,TLT,SLD,2347,ARCA,116.64,11.735
2013-05-28 00:00:00,IEI,SLD,2000,ARCA,122.38,10.0
2013-05-28 00:00:00,TLT,BOT,2382,ARCA,113.84,11.91
2013-05-29 00:00:00,IEI,BOT,2000,ARCA,122.52,10.0
2013-05-29 00:00:00,TLT,SLD,2382,ARCA,115.12,11.91
2013-06-05 00:00:00,IEI,BOT,2000,ARCA,122.42,10.0
2013-06-05 00:00:00,TLT,SLD,2348,ARCA,115.29,11.74
2013-06-06 00:00:00,IEI,SLD,2000,ARCA,122.46,10.0
2013-06-06 00:00:00,TLT,BOT,2348,ARCA,115.22,11.74
2013-06-07 00:00:00,IEI,SLD,2000,ARCA,122.08,10.0
2013-06-07 00:00:00,TLT,BOT,2386,ARCA,113.16,11.93
2013-06-10 00:00:00,IEI,BOT,2000,ARCA,121.93,10.0
2013-06-10 00:00:00,TLT,SLD,2386,ARCA,112.62,11.93
2013-06-11 00:00:00,IEI,BOT,2000,ARCA,122.02,10.0
2013-06-11 00:00:00,TLT,SLD,2368,ARCA,113.96,11.84
2013-06-12 00:00:00,IEI,SLD,2000,ARCA,121.79,10.0
2013-06-12 00:00:00,TLT,BOT,2368,ARCA,112.33,11.84
2013-06-13 00:00:00,IEI,BOT,2000,ARCA,122.21,10.0
2013-06-13 00:00:00,TLT,SLD,2369,ARCA,114.09,11.845
2013-06-14 00:00:00,IEI,SLD,2000,ARCA,122.37,10.0
2013-06-14 00:00:00,TLT,BOT,2369,ARCA,113.82,11.845
2013-06-20 00:00:00,IEI,SLD,2000,ARCA,121.1,10.0
2013-06-20 00:00:00,TLT,BOT,2428,ARCA,110.27,12.14
2013-06-24 00:00:00,IEI,BOT,2000,ARCA,120.22,10.0
2013-06-24 00:00:00,TLT,SLD,2428,ARCA,108.85,12.14
2013-06-25 00:00:00,IEI,SLD,2000,ARCA,120.21,10.0
2013-06-25 00:00:00,TLT,BOT,2464,ARCA,107.88,12.32
2013-06-26 00:00:00,IEI,BOT,2000,ARCA,120.45,10.0
2013-06-26 00:00:00,TLT,SLD,2464,ARCA,108.58,12.32
2013-07-05 00:00:00,IEI,SLD,2000,ARCA,119.69,10.0
2013-07-05 00:00:00,TLT,BOT,2486,ARCA,106.26,12.43
2013-07-08 00:00:00,IEI,BOT,2000,ARCA,120.16,10.0
2013-07-08 00:00:00,TLT,SLD,2486,ARCA,107.29,12.43
2013-07-18 00:00:00,IEI,SLD,2000,ARCA,120.99,10.0
2013-07-18 00:00:00,TLT,BOT,2484,ARCA,107.5,12.42
2013-07-19 00:00:00,IEI,BOT,2000,ARCA,121.23,10.0
2013-07-19 00:00:00,TLT,SLD,2484,ARCA,109.2,12.42
2013-07-24 00:00:00,IEI,SLD,2000,ARCA,120.86,10.0
2013-07-24 00:00:00,TLT,BOT,2480,ARCA,107.52,12.4
2013-07-25 00:00:00,IEI,BOT,2000,ARCA,120.99,10.0
2013-07-25 00:00:00,TLT,SLD,2480,ARCA,107.48,12.4
2013-08-01 00:00:00,IEI,SLD,2000,ARCA,120.37,10.0
2013-08-01 00:00:00,TLT,BOT,2516,ARCA,105.36,12.58
2013-08-02 00:00:00,IEI,BOT,2000,ARCA,121.01,10.0
2013-08-02 00:00:00,TLT,SLD,2516,ARCA,106.52,12.58
2013-08-13 00:00:00,IEI,SLD,2000,ARCA,120.5,10.0
2013-08-13 00:00:00,TLT,BOT,2528,ARCA,104.99,12.64
2013-08-14 00:00:00,IEI,BOT,2000,ARCA,120.52,10.0
2013-08-14 00:00:00,TLT,SLD,2528,ARCA,105.15,12.64
2013-08-15 00:00:00,IEI,SLD,2000,ARCA,120.27,10.0
2013-08-15 00:00:00,TLT,BOT,2553,ARCA,103.73,12.765
2013-08-16 00:00:00,IEI,BOT,2000,ARCA,120.05,10.0
2013-08-16 00:00:00,TLT,SLD,2553,ARCA,103.37,12.765
2013-08-22 00:00:00,IEI,BOT,2000,ARCA,119.52,10.0
2013-08-22 00:00:00,TLT,SLD,2551,ARCA,103.17,12.755
2013-08-26 00:00:00,IEI,SLD,2000,ARCA,119.98,10.0
2013-08-26 00:00:00,TLT,BOT,2551,ARCA,104.81,12.755
2013-08-27 00:00:00,IEI,BOT,2000,ARCA,120.27,10.0
2013-08-27 00:00:00,TLT,SLD,2495,ARCA,106.13,12.475
2013-08-28 00:00:00,IEI,SLD,2000,ARCA,120.03,10.0
2013-08-28 00:00:00,TLT,BOT,2495,ARCA,105.27,12.475
2013-09-03 00:00:00,IEI,SLD,2000,ARCA,119.63,10.0
2013-09-03 00:00:00,TLT,BOT,2523,ARCA,104.22,12.615
2013-09-04 00:00:00,IEI,BOT,2000,ARCA,119.31,10.0
2013-09-04 00:00:00,TLT,SLD,2523,ARCA,103.99,12.615
2013-09-05 00:00:00,IEI,SLD,2000,ARCA,118.78,10.0
2013-09-05 00:00:00,TLT,BOT,2545,ARCA,102.54,12.725
2013-09-06 00:00:00,IEI,BOT,2000,ARCA,119.24,10.0
2013-09-06 00:00:00,TLT,SLD,2545,ARCA,103.05,12.725
2013-09-16 00:00:00,IEI,SLD,2000,ARCA,119.9,10.0
2013-09-16 00:00:00,TLT,BOT,2561,ARCA,102.86,12.805
2013-09-17 00:00:00,IEI,BOT,2000,ARCA,120.03,10.0
2013-09-17 00:00:00,TLT,SLD,2561,ARCA,103.71,12.805
2013-09-24 00:00:00,IEI,BOT,2000,ARCA,121.02,10.0
2013-09-24 00:00:00,TLT,SLD,2489,ARCA,106.83,12.445
2013-09-25 00:00:00,IEI,SLD,2000,ARCA,121.2,10.0
2013-09-25 00:00:00,TLT,BOT,2489,ARCA,107.05,12.445
2013-10-16 00:00:00,IEI,BOT,2000,ARCA,121.25,10.0
2013-10-16 00:00:00,TLT,SLD,2513,ARCA,105.85,12.565
2013-10-17 00:00:00,IEI,SLD,2000,ARCA,121.53,10.0
2013-10-17 00:00:00,TLT,BOT,2513,ARCA,106.81,12.565
2013-10-22 00:00:00,IEI,BOT,2000,ARCA,121.83,10.0
2013-10-22 00:00:00,TLT,SLD,2477,ARCA,107.89,12.385
2013-10-23 00:00:00,IEI,SLD,2000,ARCA,121.88,10.0
2013-10-23 00:00:00,TLT,BOT,2477,ARCA,108.31,12.385
2013-11-01 00:00:00,IEI,SLD,2000,ARCA,121.42,10.0
2013-11-01 00:00:00,TLT,BOT,2503,ARCA,106.19,12.515
2013-11-04 00:00:00,IEI,BOT,2000,ARCA,121.56,10.0
2013-11-04 00:00:00,TLT,SLD,2503,ARCA,106.29,12.515
2013-11-05 00:00:00,IEI,SLD,2000,ARCA,121.39,10.0
2013-11-05 00:00:00,TLT,BOT,2531,ARCA,105.02,12.655
2013-11-06 00:00:00,IEI,BOT,2000,ARCA,121.65,10.0
2013-11-06 00:00:00,TLT,SLD,2531,ARCA,105.07,12.655
2013-11-08 00:00:00,IEI,SLD,2000,ARCA,121.2,10.0
2013-11-08 00:00:00,TLT,BOT,2566,ARCA,103.41,12.83
2013-11-11 00:00:00,IEI,BOT,2000,ARCA,121.17,10.0
2013-11-11 00:00:00,TLT,SLD,2566,ARCA,103.02,12.83
2013-11-20 00:00:00,IEI,SLD,2000,ARCA,121.53,10.0
2013-11-20 00:00:00,TLT,BOT,2589,ARCA,102.78,12.945
2013-11-21 00:00:00,IEI,BOT,2000,ARCA,121.57,10.0
2013-11-21 00:00:00,TLT,SLD,2589,ARCA,102.95,12.945
2013-11-22 00:00:00,IEI,BOT,2000,ARCA,121.66,10.0
2013-11-22 00:00:00,TLT,SLD,2563,ARCA,103.91,12.815
2013-11-25 00:00:00,IEI,SLD,2000,ARCA,121.73,10.0
2013-11-25 00:00:00,TLT,BOT,2563,ARCA,104.21,12.815
2013-12-20 00:00:00,IEI,BOT,2000,ARCA,120.45,10.0
2013-12-20 00:00:00,TLT,SLD,2523,ARCA,104.25,12.615
2013-12-23 00:00:00,IEI,SLD,2000,ARCA,120.33,10.0
2013-12-23 00:00:00,TLT,BOT,2523,ARCA,103.66,12.615
2014-01-23 00:00:00,IEI,BOT,2000,ARCA,120.84,10.0
2014-01-23 00:00:00,TLT,SLD,2465,ARCA,106.79,12.325
2014-01-24 00:00:00,IEI,SLD,2000,ARCA,121.08,10.0
2014-01-24 00:00:00,TLT,BOT,2465,ARCA,107.48,12.325
2014-02-03 00:00:00,IEI,BOT,2000,ARCA,121.82,10.0
2014-02-03 00:00:00,TLT,SLD,2423,ARCA,109.32,12.115
2014-02-04 00:00:00,IEI,SLD,2000,ARCA,121.68,10.0
2014-02-04 00:00:00,TLT,BOT,2423,ARCA,108.16,12.115
2014-03-04 00:00:00,IEI,SLD,2000,ARCA,121.4,10.0
2014-03-04 00:00:00,TLT,BOT,2454,ARCA,107.39,12.27
2014-03-05 00:00:00,IEI,BOT,2000,ARCA,121.44,10.0
2014-03-05 00:00:00,TLT,SLD,2454,ARCA,107.62,12.27
2014-03-06 00:00:00,IEI,SLD,2000,ARCA,121.23,10.0
2014-03-06 00:00:00,TLT,BOT,2470,ARCA,106.56,12.35
2014-03-07 00:00:00,IEI,BOT,2000,ARCA,120.91,10.0
2014-03-07 00:00:00,TLT,SLD,2470,ARCA,105.89,12.35
2014-03-13 00:00:00,IEI,BOT,2000,ARCA,121.54,10.0
2014-03-13 00:00:00,TLT,SLD,2432,ARCA,108.5,12.16
2014-03-14 00:00:00,IEI,SLD,2000,ARCA,121.55,10.0
2014-03-14 00:00:00,TLT,BOT,2432,ARCA,108.52,12.16
2014-03-21 00:00:00,IEI,BOT,2000,ARCA,120.63,10.0
2014-03-21 00:00:00,TLT,SLD,2420,ARCA,108.23,12.1
2014-03-24 00:00:00,IEI,SLD,2000,ARCA,120.52,10.0
2014-03-24 00:00:00,TLT,BOT,2420,ARCA,109.0,12.1
2014-05-01 00:00:00,IEI,BOT,2000,ARCA,121.19,10.0
2014-05-01 00:00:00,TLT,SLD,2341,ARCA,112.02,11.705
2014-05-02 00:00:00,IEI,SLD,2000,ARCA,121.13,10.0
2014-05-02 00:00:00,TLT,BOT,2341,ARCA,112.71,11.705
2014-05-14 00:00:00,IEI,BOT,2000,ARCA,121.77,10.0
2014-05-14 00:00:00,TLT,SLD,2333,ARCA,112.96,11.665
2014-05-15 00:00:00,IEI,SLD,2000,ARCA,121.95,10.0
2014-05-15 00:00:00,TLT,BOT,2333,ARCA,113.86,11.665
2014-05-28 00:00:00,IEI,BOT,2000,ARCA,122.31,10.0
2014-05-28 00:00:00,TLT,SLD,2307,ARCA,114.76,11.535
2014-05-29 00:00:00,IEI,SLD,2000,ARCA,122.22,10.0
2014-05-29 00:00:00,TLT,BOT,2307,ARCA,114.15,11.535
2014-06-03 00:00:00,IEI,SLD,2000,ARCA,121.43,10.0
2014-06-03 00:00:00,TLT,BOT,2352,ARCA,111.57,11.76
